,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
36,155.0:2022-07-11 14:45:28.179,10.0 Trials,CONTROL FEEDBACK,368.8400000000001,347.97777777777776,369.89000000000004,391.34,398.43157894736834,360.20500000000004,358.80526315789473,355.73278688524596
37,156.0:2022-07-12 11:40:59.014,5.0 Trials,CONTROL FEEDBACK,382.7192307692307,377.0228571428573,378.9999999999999,367.3153846153846,371.65526315789475,378.52750000000003,374.98048780487807,376.49999999999994
38,157.0:2022-07-10 14:58:21.687,10.0 Trials,CONTROL FEEDBACK,429.4076923076923,422.57894736842104,426.8095238095238,441.8,426.57894736842104,419.35,420.7894736842105,418.536231884058
39,158.0:2022-07-10 15:03:13.275,5.0 Trials,CONTROL FEEDBACK,549.2260869565221,531.7078947368419,499.62,530.6926829268293,513.8384615384615,533.021052631579,550.6236842105262,528.5031746031746
40,159.0:2022-07-10 13:52:33.132,10.0 Trials,CONTROL FEEDBACK,457.36283185840716,441.1235294117649,441.40625,461.73809523809524,451.2833333333333,471.3611111111111,443.19444444444446,444.7271844660195
41,164.0:2022-07-10 15:02:08.955,5.0 Trials,CONTROL FEEDBACK,422.7253333333334,403.65,412.87441860465105,418.8926829268293,425.00952380952396,443.4558139534884,429.81395348837225,397.02345679012336
42,166.0:2022-07-24 11:27:42.941,5.0 Trials,CONTROL FEEDBACK,564.7984126984126,565.3025641025641,548.986842105263,549.6000000000001,565.6600000000002,540.6194444444444,549.4694444444443,522.7611940298508
43,167.0:2022-07-12 17:39:44.905,10.0 Trials,CONTROL FEEDBACK,441.7534883720928,467.40952380952376,451.94736842105266,442.98888888888894,479.75499999999994,423.2190476190476,435.6809523809524,435.0217054263564
44,175.0:2023-08-08 16:03:26.564,10.0 Trials,CONTROL FEEDBACK,433.3911999999999,434.7714285714286,453.9105263157894,459.95,445.90500000000003,429.4105263157894,452.5619047619047,441.628888888889
45,177.0:2023-08-09 10:48:16.858,10.0 Trials,CONTROL FEEDBACK,485.84918032786925,481.18636363636364,499.6249999999999,434.20454545454544,477.0142857142858,484.985,469.1105263157895,476.52692307692314
46,181.0:2023-08-09 14:51:23.672,10.0 Trials,CONTROL FEEDBACK,450.7875968992248,437.68499999999995,452.442857142857,453.1761904761905,441.4684210526316,453.85,450.075,431.389393939394
47,23917.0:2022-07-20 08:31:24.332,10.0 Trials,CONTROL FEEDBACK,444.30948275862056,449.7714285714286,438.45,454.99000000000007,451.2200000000001,437.8549999999999,481.025,438.5649122807015
48,24373.0:2022-07-15 12:25:27.521,10.0 Trials,CONTROL FEEDBACK,385.5160377358491,396.135294117647,374.28888888888883,410.81499999999994,389.7947368421053,365.5315789473684,355.08823529411757,359.55523809523805
49,25030.0:2022-10-07 18:23:40.085,5.0 Trials,CONTROL FEEDBACK,418.768831168831,401.61395348837203,410.4441860465118,403.3024390243902,403.27857142857135,413.74523809523805,402.8953488372092,401.1493670886077
50,25837.0:2022-06-04 22:03:30.770,10.0 Trials,CONTROL FEEDBACK,334.88896551724116,336.445,335.45,343.84090909090907,332.54761904761904,342.32857142857137,348.69999999999993,337.68098591549307
51,28264.0:2022-06-02 21:41:09.802,5.0 Trials,CONTROL FEEDBACK,382.4328767123288,391.59250000000003,373.51463414634145,372.4404761904762,362.39047619047614,378.1073170731708,379.6738095238096,373.6624999999999
52,32167.0:2022-06-26 18:56:40.861,10.0 Trials,CONTROL FEEDBACK,433.05645161290346,408.0823529411765,390.5285714285715,438.57058823529417,427.847619047619,430.58095238095234,418.21999999999997,423.3790322580647
53,32959.0:2022-06-12 18:49:26.508,10.0 Trials,CONTROL FEEDBACK,413.7992248062015,415.78333333333336,433.2700000000001,422.0095238095238,390.5190476190476,402.33,406.25789473684216,417.29059829059844
54,33043.0:2022-06-28 15:00:41.674,10.0 Trials,CONTROL FEEDBACK,371.85447761194035,370.1761904761905,360.3052631578947,361.555,365.125,368.1952380952381,367.55500000000006,374.2330827067669
55,33088.0:2022-06-20 19:27:51.581,5.0 Trials,CONTROL FEEDBACK,397.40235294117645,401.2930232558139,393.1219512195122,402.01860465116283,395.0068181818182,396.0136363636364,393.5813953488372,396.5096385542168
56,33442.0:2022-06-13 20:49:56.327,5.0 Trials,CONTROL FEEDBACK,483.74155844155854,489.27560975609754,482.74146341463427,486.89,477.79999999999995,471.55999999999995,473.0571428571428,466.55569620253186
57,34048.0:2022-07-01 16:17:08.214,5.0 Trials,CONTROL FEEDBACK,422.245238095238,423.4441860465117,427.76279069767446,432.35581395348834,424.30465116279083,418.0545454545456,423.5545454545454,417.1962500000001
58,34195.0:2022-06-16 22:15:38.639,10.0 Trials,CONTROL FEEDBACK,482.65289855072456,476.66,475.3499999999999,475.3047619047619,498.09,481.57272727272715,497.64285714285717,484.85310344827593
59,34231.0:2022-06-23 13:57:44.723,10.0 Trials,CONTROL FEEDBACK,468.32945736434135,480.7095238095239,461.0649999999999,493.81499999999994,464.20000000000005,466.36190476190467,507.1499999999999,469.9082706766921
60,34237.0:2022-06-27 18:16:51.445,10.0 Trials,CONTROL FEEDBACK,426.75886524822704,423.35,402.45909090909083,414.18,373.8578947368421,376.452380952381,424.947619047619,389.0937984496123
61,34342.0:2022-06-10 22:04:09.811,5.0 Trials,CONTROL FEEDBACK,391.05147058823525,386.81190476190477,411.1738095238096,406.04651162790697,387.1153846153846,379.9552631578947,390.5475,403.01785714285717
62,34564.0:2022-06-09 11:31:13.896,5.0 Trials,CONTROL FEEDBACK,367.8569230769232,382.78499999999997,370.5906976744186,367.77179487179484,370.46363636363645,379.2255813953489,367.92380952380955,370.45000000000005
63,34591.0:2022-06-15 16:14:37.198,10.0 Trials,CONTROL FEEDBACK,429.78581560283675,433.9619047619048,434.9684210526316,416.0809523809524,402.4090909090908,415.56818181818176,415.94000000000005,423.8550724637679
64,35152.0:2022-06-06 10:32:33.985,5.0 Trials,CONTROL FEEDBACK,444.89333333333326,442.8414634146341,420.04390243902446,412.86097560975605,438.8209302325581,417.825,411.2897435897437,411.67733333333325
65,35308.0:2022-06-01 00:45:46.160,5.0 Trials,CONTROL FEEDBACK,414.7368421052631,390.1439024390244,409.0285714285713,408.9414634146342,427.31136363636347,411.33414634146345,410.0409090909089,411.71486486486486
66,35440.0:2022-07-23 18:34:56.239,5.0 Trials,CONTROL FEEDBACK,428.4227848101266,424.87906976744176,438.1476190476189,440.20714285714297,445.0146341463415,452.38181818181806,440.34418604651154,456.713924050633
67,35524.0:2022-06-25 22:31:32.043,5.0 Trials,CONTROL FEEDBACK,487.70833333333326,472.0023255813953,471.2,489.2666666666669,503.5860465116279,485.3418604651162,476.4204545454544,469.3822784810127
68,35677.0:2022-08-22 04:56:37.744,10.0 Trials,CONTROL FEEDBACK,411.4251968503937,423.6111111111111,429.6666666666667,419.94444444444446,406.55555555555554,388.7368421052632,369.53333333333336,398.7181818181818
69,35695.0:2022-06-26 20:50:34.143,10.0 Trials,CONTROL FEEDBACK,430.42550335570496,423.925,427.847619047619,430.78095238095244,453.95714285714286,439.5809523809525,427.4045454545454,433.52448979591856
70,35788.0:2022-06-26 15:11:05.006,5.0 Trials,CONTROL FEEDBACK,518.7647058823529,505.53125,523.5135135135135,530.4736842105264,515.9722222222222,498.7317073170732,524.75,514.8225806451613
71,35974.0:2023-08-06 12:15:08.023,5.0 Trials,CONTROL FEEDBACK,352.625,344.2675675675676,347.31219512195133,345.75250000000005,341.6512195121951,349.9976744186046,345.7263157894736,349.33636363636356
72,36067.0:2022-06-18 17:33:38.170,10.0 Trials,CONTROL FEEDBACK,554.8920863309353,524.95,551.952380952381,546.5238095238095,576.8095238095239,538.1904761904761,574.1428571428571,561.3984962406015
73,36103.0:2022-08-27 18:59:13.459,10.0 Trials,CONTROL FEEDBACK,459.75507246376816,462.86315789473684,452.152380952381,445.5210526315789,450.3285714285715,465.99523809523816,504.25714285714287,442.4043795620438
74,36118.0:2022-06-01 17:40:09.995,5.0 Trials,CONTROL FEEDBACK,431.75789475438586,441.3973683947368,447.0948719230769,451.087804902439,470.3538459999999,447.8699999999998,445.9194443888889,424.349152457627
75,36127.0:2022-06-02 15:36:52.042,10.0 Trials,CONTROL FEEDBACK,420.75213675213666,426.06000000000006,413.5777777777778,437.3882352941177,408.28,406.795,388.7904761904762,397.90258620689644
76,36205.0:2022-06-12 13:37:51.578,10.0 Trials,CONTROL FEEDBACK,459.9614754098361,464.8578947368422,469.6136363636364,436.442105263158,461.1850000000001,438.0315789473684,459.46111111111117,424.85714285714306
77,36217.0:2023-08-06 14:42:15.788,10.0 Trials,CONTROL FEEDBACK,460.420909090909,465.2157894736843,458.6777777777778,467.91,435.29499999999996,461.6294117647059,437.1764705882353,457.49357798165136
78,36238.0:2022-06-01 17:44:18.822,5.0 Trials,CONTROL FEEDBACK,416.49531249999995,409.8842105263158,417.62750000000005,410.125,426.8974358974359,395.7476190476191,407.9289473684211,387.91690140845066
79,36241.0:2022-06-02 17:52:58.768,10.0 Trials,CONTROL FEEDBACK,527.1693069306933,550.5285714285716,512.1944444444443,553.0444444444445,496.0450000000001,518.8823529411765,510.8444444444445,512.1554621848737
