,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
41,339:2022-07-17 13:29:25.027,10 Trials,CONTROL FEEDBACK,427.0678321678322,408.66499999999996,431.31499999999994,452.65500000000003,418.2904761904761,425.45,427.87,421.2879999999997
42,340:2022-07-14 11:53:25.773,5 Trials,CONTROL FEEDBACK,417.0722222222223,411.21395348837217,416.9625,410.34634146341466,409.74761904761897,414.43636363636375,423.5761904761905,409.1907894736843
43,342:2022-07-14 22:42:26.310,5 Trials,CONTROL FEEDBACK,398.556164410959,389.1704545454546,396.9136363409091,399.74761902380953,390.01025651282043,395.884999825,401.8073170731708,389.9650000166666
44,34399:2022-11-20 12:32:29.255,10 Trials,CONTROL FEEDBACK,415.78031496062994,440.31428571428575,410.68421052631584,399.1277777777778,403.955,404.1611111111111,398.5761904761905,410.5666666666666
45,343:2022-07-16 20:31:37.374,10 Trials,CONTROL FEEDBACK,434.07479674796735,426.4944444444444,448.4095238095238,449.71111111111105,424.6714285714285,447.390909090909,411.22380952380956,429.2507575757578
46,345:2022-07-14 19:46:22.209,10 Trials,CONTROL FEEDBACK,388.12314049586774,389.08421052631576,391.5136363636364,381.09,381.2578947368421,374.9933333333334,378.165,388.40341880341873
47,346:2022-07-17 12:12:43.537,5 Trials,CONTROL FEEDBACK,385.0760000000001,380.7348837209302,377.2785714285713,377.29285714285714,376.71500000000003,391.16976744186053,372.24186046511625,371.40533333333343
48,34735:2022-09-17 12:41:44.848,10 Trials,CONTROL FEEDBACK,318.40467289719624,315.7764705882353,327.91111111111104,314.09444444444443,321.75714285714287,311.44736842105266,315.7,326.3636363636363
49,347:2022-07-17 19:43:42.771,10 Trials,CONTROL FEEDBACK,441.60287769784156,418.81052631578956,409.20000000000005,415.90999999999997,459.89545454545447,439.5727272727272,442.452380952381,438.751824817518
50,348:2022-07-17 16:48:01.397,5 Trials,CONTROL FEEDBACK,404.19999999999993,410.58139534883736,414.5270270270271,369.24750000000006,399.9441860465116,398.1744186046512,399.45227272727277,404.0526315789474
